"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","22pF","~","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","1",""
"C2,C3,C4,C5,C6,C7,C8","100n","~","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","7",""
"J1","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J2","left row","~","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","1",""
"J3","right row","~","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","1",""
"J4","Conn_02x07_Odd_Even","~","Connector_IDC:IDC-Header_2x07_P2.54mm_Vertical","1",""
"JP5","SolderJumper_2_Open","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"Q1","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1","330","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2,R3,R6,R7","4K7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R4,R5","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"RN1,RN2","10K Network","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP9","2",""
"U1","6502","","Package_DIP:DIP-40_W15.24mm_LongPads","1",""
"U2","74LS161","http://www.ti.com/lit/gpn/sn74LS161","Package_DIP:DIP-16_W7.62mm_LongPads","1",""
"U3","74LS00","http://www.ti.com/lit/gpn/sn74ls00","Package_DIP:DIP-14_W7.62mm_LongPads","1",""
"U4","6821","http://pdf.datasheetcatalog.com/datasheet/motorola/6821.pdf","Package_DIP:DIP-40_W15.24mm","1",""
"U5","6264","https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf","Package_DIP:DIP-28_W15.24mm","1",""
"U6","2764 / MMU","http://ww1.microchip.com/downloads/en/devicedoc/11003L.pdf","Package_DIP:DIP-28_W15.24mm","1",""
"U7","27Cxxx / KERNAL","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0015.pdf","Package_DIP:DIP-28_W15.24mm","1",""
"Y1","Crystal","~","Crystal:Crystal_HC49-U_Vertical","1",""
